filename,anova_p,maxmeanpower_freq,df_sig,DF_significant?
13-18_Trial02_chpaddle01-02.csv,<0.0001,9.3,Yes,1
13-18_Trial02_chpaddle01-03.csv,<0.0001,9.3,Yes,1
13-18_Trial02_chpaddle01-04.csv,<0.0001,9.3,Yes,1
13-18_Trial02_chpaddle01.csv,<0.0001,9.3,Yes,1
13-18_Trial02_chpaddle02-03.csv,<0.0001,9.3,Yes,1
13-18_Trial02_chpaddle02-04.csv,<0.0001,9.3,Yes,1
13-18_Trial02_chpaddle02.csv,<0.0001,9.3,Yes,1
13-18_Trial02_chpaddle03-04.csv,<0.0001,9.3,Yes,1
13-18_Trial02_chpaddle03.csv,<0.0001,9.3,Yes,1
13-18_Trial02_chpaddle04.csv,<0.0001,9.3,Yes,1
14-18_Trial05_chpaddle01-02.csv,<0.0001,10.2,Yes,1
14-18_Trial05_chpaddle01-03.csv,<0.0001,9.9,Yes,1
14-18_Trial05_chpaddle01-04.csv,<0.0001,9.9,Yes,1
14-18_Trial05_chpaddle01.csv,<0.0001,9.9,Yes,1
14-18_Trial05_chpaddle02-03.csv,<0.0001,10.2,Yes,1
14-18_Trial05_chpaddle02-04.csv,<0.0001,10.2,Yes,1
14-18_Trial05_chpaddle02.csv,<0.0001,10.2,Yes,1
14-18_Trial05_chpaddle03-04.csv,<0.0001,10.2,Yes,1
14-18_Trial05_chpaddle03.csv,<0.0001,10.5,Yes,1
14-18_Trial05_chpaddle04.csv,<0.0001,10.2,Yes,1
15-18_Trial08_chpaddle01-02.csv,0.0024,9,No,0
15-18_Trial08_chpaddle01-03.csv,<0.0001,9,No,0
15-18_Trial08_chpaddle01-04.csv,<0.0001,9.3,No,0
15-18_Trial08_chpaddle01.csv,<0.0001,9,No,0
15-18_Trial08_chpaddle02-03.csv,<0.0001,15,Yes,1
15-18_Trial08_chpaddle02-04.csv,<0.0001,8.7,Yes,1
15-18_Trial08_chpaddle02.csv,0.0024,14.4,No,0
15-18_Trial08_chpaddle03-04.csv,<0.0001,8.4,Yes,1
15-18_Trial08_chpaddle03.csv,<0.0001,8.7,No,0
15-18_Trial08_chpaddle04.csv,<0.0001,10.5,No,0
16-18_Trial03_chpaddle02-03.csv,<0.0001,10.2,Yes,1
16-18_Trial03_chpaddle02-04.csv,<0.0001,9.9,Yes,1
16-18_Trial03_chpaddle02-06.csv,<0.0001,9.9,Yes,1
16-18_Trial03_chpaddle02.csv,<0.0001,9.9,Yes,1
16-18_Trial03_chpaddle03-04.csv,<0.0001,9.9,Yes,1
16-18_Trial03_chpaddle03-06.csv,<0.0001,10.2,No,0
16-18_Trial03_chpaddle03.csv,<0.0001,10.2,Yes,1
16-18_Trial03_chpaddle04-06.csv,<0.0001,9.9,Yes,1
16-18_Trial03_chpaddle04.csv,<0.0001,9.9,Yes,1
16-18_Trial03_chpaddle06.csv,<0.0001,10.2,No,0
29-18_Trial01_chpaddle01-02.csv,0.024,8.1,No,0
29-18_Trial01_chpaddle01-03.csv,<0.0001,8.7,No,0
29-18_Trial01_chpaddle01-04.csv,0.0314,8.1,No,0
29-18_Trial01_chpaddle01-05.csv,0.1975,8.1,No,0
29-18_Trial01_chpaddle01-06.csv,<0.0001,8.4,No,0
29-18_Trial01_chpaddle01.csv,5.00E-04,8.4,No,0
29-18_Trial01_chpaddle02-03.csv,0.1804,8.7,No,0
29-18_Trial01_chpaddle02-04.csv,<0.0001,8.4,No,0
29-18_Trial01_chpaddle02-05.csv,<0.0001,9.6,No,0
29-18_Trial01_chpaddle02-06.csv,0.0016,8.4,No,0
29-18_Trial01_chpaddle02.csv,0.3018,10.5,No,0
29-18_Trial01_chpaddle03-04.csv,2.00E-04,8.1,No,0
29-18_Trial01_chpaddle03-05.csv,0.8964,8.4,No,0
29-18_Trial01_chpaddle03-06.csv,0.0095,10.8,No,0
29-18_Trial01_chpaddle03.csv,0.0204,8.4,No,0
29-18_Trial01_chpaddle04-05.csv,0.0017,9,No,0
29-18_Trial01_chpaddle04-06.csv,0.0141,8.4,No,0
29-18_Trial01_chpaddle04.csv,0.1082,8.1,No,0
29-18_Trial01_chpaddle05-06.csv,0.0066,8.1,No,0
29-18_Trial01_chpaddle05.csv,0.3636,8.1,No,0
29-18_Trial01_chpaddle06.csv,0.1301,8.4,No,0
32-18_Trial01_chpaddle01-02.csv,0.0686,7.2,No,0
32-18_Trial01_chpaddle01-03.csv,<0.0001,7.5,No,0
32-18_Trial01_chpaddle01-04.csv,<0.0001,9.3,No,0
32-18_Trial01_chpaddle01-05.csv,<0.0001,7.5,No,0
32-18_Trial01_chpaddle01-06.csv,<0.0001,7.5,No,0
32-18_Trial01_chpaddle01.csv,<0.0001,9.3,No,0
32-18_Trial01_chpaddle02-03.csv,<0.0001,7.5,No,0
32-18_Trial01_chpaddle02-04.csv,<0.0001,9.6,No,0
32-18_Trial01_chpaddle02-05.csv,<0.0001,7.5,No,0
32-18_Trial01_chpaddle02-06.csv,<0.0001,7.5,No,0
32-18_Trial01_chpaddle02.csv,<0.0001,9.6,No,0
32-18_Trial01_chpaddle03-04.csv,<0.0001,9.3,No,0
32-18_Trial01_chpaddle03-05.csv,<0.0001,7.5,No,0
32-18_Trial01_chpaddle03-06.csv,<0.0001,7.5,No,0
32-18_Trial01_chpaddle03.csv,<0.0001,7.5,No,0
32-18_Trial01_chpaddle04-05.csv,<0.0001,9.3,No,0
32-18_Trial01_chpaddle04-06.csv,<0.0001,9.3,No,0
32-18_Trial01_chpaddle04.csv,<0.0001,9.3,No,0
32-18_Trial01_chpaddle05-06.csv,<0.0001,8.7,No,0
32-18_Trial01_chpaddle05.csv,<0.0001,7.5,No,0
32-18_Trial01_chpaddle06.csv,<0.0001,7.5,No,0
34-18_Trial01_chpaddle01-02.csv,<0.0001,8.4,Yes,1
34-18_Trial01_chpaddle01-03.csv,<0.0001,8.7,Yes,1
34-18_Trial01_chpaddle01-04.csv,3.00E-04,8.4,No,0
34-18_Trial01_chpaddle01-05.csv,<0.0001,8.4,Yes,1
34-18_Trial01_chpaddle01-06.csv,<0.0001,8.1,Yes,1
34-18_Trial01_chpaddle01.csv,0.0988,7.8,No,0
34-18_Trial01_chpaddle02-03.csv,<0.0001,8.7,Yes,1
34-18_Trial01_chpaddle02-04.csv,<0.0001,8.4,Yes,1
34-18_Trial01_chpaddle02-05.csv,<0.0001,8.4,Yes,1
34-18_Trial01_chpaddle02-06.csv,<0.0001,8.1,Yes,1
34-18_Trial01_chpaddle02.csv,<0.0001,8.4,Yes,1
34-18_Trial01_chpaddle03-04.csv,<0.0001,8.7,Yes,1
34-18_Trial01_chpaddle03-05.csv,<0.0001,8.7,Yes,1
34-18_Trial01_chpaddle03-06.csv,<0.0001,8.4,Yes,1
34-18_Trial01_chpaddle03.csv,<0.0001,8.7,Yes,1
34-18_Trial01_chpaddle04-05.csv,0.0047,8.4,No,0
34-18_Trial01_chpaddle04-06.csv,0.0924,8.4,No,0
34-18_Trial01_chpaddle04.csv,0.0282,8.4,No,0
34-18_Trial01_chpaddle05-06.csv,0.0125,8.4,No,0
34-18_Trial01_chpaddle05.csv,<0.0001,8.4,Yes,1
34-18_Trial01_chpaddle06.csv,<0.0001,8.1,No,0
43-17_Trial02_chpaddle01-02.csv,<0.0001,12.6,No,0
43-17_Trial02_chpaddle01-03.csv,0.0015,13.2,No,0
43-17_Trial02_chpaddle01-04.csv,<0.0001,12.9,No,0
43-17_Trial02_chpaddle01.csv,<0.0001,12.9,No,0
43-17_Trial02_chpaddle02-03.csv,<0.0001,12.6,No,0
43-17_Trial02_chpaddle02-04.csv,<0.0001,9,No,0
43-17_Trial02_chpaddle02.csv,<0.0001,12.6,No,0
43-17_Trial02_chpaddle03-04.csv,<0.0001,12.9,No,0
43-17_Trial02_chpaddle03.csv,<0.0001,12.6,No,0
43-17_Trial02_chpaddle04.csv,<0.0001,12.9,No,0
,,,,
,,,N.sig,45
,,,%.sig,0.398230088